Region,Adult obesity,Food environment index
South,0.309,5.627
South,0.363,5.3
South,0.332,6.831
South,0.344,6.5
South,0.286,7.066
South,0.292,6.7
South,0.334,7.141
South,0.339,6.7
South,0.356,6.072
South,0.367,5.6
South,0.325,7.8
South,0.343,7.3
West,0.318,1.43
West,0.319,0.9
West,0.247,6.684
West,0.236,6.4
West,0.233,6.167
West,0.24,5.7
West,0.263,6.467
West,0.271,6.2
West,0.339,6.243
West,0.35,6.1
West,0.342,5.004
West,0.354,5.0
West,0.312,5.781
West,0.32,5.5
West,0.228,7.561
West,0.226,7.3
West,0.271,5.876
West,0.266,5.4
West,0.317,4.758
West,0.312,4.3
West,0.241,7.109
West,0.221,6.9
West,0.314,7.507
West,0.302,7.3
West,0.201,5.768
West,0.205,5.9
West,0.234,6.63
West,0.259,6.3
West,0.311,4.639
West,0.312,4.7
West,0.207,7.775
West,0.205,7.6
West,0.23,8.073
West,0.248,7.7
West,0.243,6.755
West,0.244,6.4
West,0.258,8.038
West,0.243,7.7
West,0.226,6.946
West,0.223,7.0
West,0.237,8.139
West,0.224,8.0
West,0.255,6.405
West,0.255,6.0
West,0.203,8.067
West,0.21,7.9
West,0.294,6.46
West,0.285,6.5
West,0.268,7.01
West,0.259,6.9
West,0.265,7.088
West,0.257,6.5
West,0.235,4.796
West,0.221,5.3
West,0.238,7.284
West,0.228,6.9
West,0.278,6.843
West,0.28,6.9
West,0.242,6.62
West,0.237,6.5
West,0.267,6.343
West,0.265,6.0
West,0.256,4.625
West,0.241,4.3
West,0.213,7.455
West,0.213,7.4
West,0.297,6.762
West,0.276,6.8
West,0.154,8.673
West,0.158,8.5
West,0.238,7.567
West,0.241,7.2
West,0.248,7.246
West,0.242,6.8
West,0.313,6.315
West,0.311,6.3
West,0.251,5.97
West,0.241,5.8
West,0.208,7.496
West,0.216,7.2
West,0.228,7.578
West,0.22,7.6
West,0.236,8.405
West,0.241,8.3
West,0.185,8.006
West,0.178,7.6
West,0.204,8.539
West,0.207,8.4
West,0.228,8.446
West,0.225,8.2
West,0.23,7.477
West,0.248,7.1
West,0.27,7.401
West,0.259,7.4
West,0.277,7.343
West,0.269,7.0
West,0.243,7.673
West,0.233,7.9
West,0.282,7.109
West,0.277,7.0
West,0.231,7.898
West,0.226,7.7
West,0.16,7.719
West,0.152,7.4
West,0.31,6.912
West,0.304,6.9
West,0.2,7.946
West,0.204,7.7
West,0.2,8.679
West,0.208,8.5
West,0.192,8.073
West,0.194,7.9
West,0.21,8.368
West,0.204,8.3
West,0.201,7.643
West,0.215,7.5
West,0.28,6.795
West,0.273,6.4
West,0.234,5.661
West,0.233,5.2
West,0.233,6.389
West,0.217,6.0
West,0.271,7.639
West,0.265,7.4
West,0.225,8.083
West,0.224,7.8
West,0.308,6.844
West,0.321,6.8
West,0.259,6.063
West,0.276,5.9
West,0.26,6.601
West,0.271,6.4
West,0.251,6.596
West,0.25,6.4
West,0.295,6.389
West,0.283,6.4
West,0.227,7.141
West,0.227,6.8
West,0.219,8.403
West,0.213,8.4
West,0.229,7.419
West,0.211,7.2
West,0.305,5.699
West,0.276,5.5
West,0.25,7.751
West,0.249,7.7
West,0.205,7.859
West,0.213,7.6
West,0.207,7.814
West,0.212,7.5
West,0.17,7.917
West,0.166,7.5
West,0.218,7.934
West,0.206,7.5
West,0.24,6.69
West,0.243,6.2
West,0.149,8.225
West,0.15,7.9
West,0.202,8.725
West,0.202,8.4
West,0.162,8.486
West,0.18,8.1
West,0.233,8.22
West,0.253,7.7
West,0.166,8.751
West,0.173,8.2
West,0.177,8.33
West,0.192,8.2
West,0.205,2.171
West,0.215,2.2
West,0.243,4.978
West,0.241,4.5
West,0.212,8.093
West,0.205,7.4
West,0.215,8.147
West,0.221,7.8
West,0.182,6.882
West,0.17,6.7
West,0.208,7.305
West,0.2,7.0
West,0.162,9.111
West,0.163,8.8
West,0.132,8.002
West,0.12,8.0
West,0.214,7.244
West,0.218,6.8
West,0.202,8.56
West,0.201,8.3
West,0.224,6.889
West,0.221,6.5
West,0.174,7.942
West,0.198,7.8
West,0.197,8.678
West,0.193,8.4
West,0.18,8.235
West,0.187,8.0
West,0.159,8.078
West,0.16,7.6
West,0.209,6.479
West,0.197,6.4
West,0.196,8.213
West,0.198,7.9
West,0.239,4.6
West,0.272,7.988
West,0.261,7.5
West,0.167,8.198
West,0.172,7.8
West,0.192,4.934
West,0.193,5.3
West,0.193,7.95
West,0.199,7.6
West,0.243,6.553
West,0.231,6.4
West,0.231,8.018
West,0.243,7.5
West,0.237,7.883
West,0.239,7.5
West,0.223,7.368
West,0.232,7.0
West,0.241,7.78
West,0.272,7.6
West,0.218,7.401
West,0.208,6.9
West,0.201,7.318
West,0.219,7.1
West,0.288,7.927
West,0.298,7.7
West,0.255,6.089
West,0.274,5.9
West,0.175,8.63
West,0.185,8.4
West,0.184,7.885
West,0.203,7.5
West,0.226,8.066
West,0.22,7.5
West,0.142,8.356
West,0.133,8.0
West,0.255,6.886
West,0.263,6.5
West,0.266,6.404
West,0.265,6.2
West,0.211,8.597
West,0.222,8.0
West,0.227,8.079
West,0.235,7.8
West,0.134,8.155
West,0.147,7.8
West,0.23,2.514
West,0.222,2.2
West,0.169,8.4
West,0.164,8.1
West,0.241,8.268
West,0.242,7.9
West,0.145,7.964
West,0.132,7.6
West,0.178,8.356
West,0.167,8.0
West,0.232,6.88
West,0.24,6.5
West,0.256,7.845
West,0.253,7.7
West,0.251,8.471
West,0.242,7.9
Northeast,0.186,8.572
Northeast,0.196,8.3
Northeast,0.246,7.962
Northeast,0.261,7.7
Northeast,0.219,9.02
Northeast,0.235,8.7
Northeast,0.239,8.674
Northeast,0.235,8.4
Northeast,0.274,7.884
Northeast,0.269,7.6
Northeast,0.25,8.362
Northeast,0.263,7.9
Northeast,0.234,8.315
Northeast,0.24,7.9
Northeast,0.3,8.0
Northeast,0.303,7.6
South,0.215,8.0
South,0.338,8.198
South,0.327,7.9
South,0.267,8.085
South,0.259,7.9
South,0.299,8.648
South,0.307,8.3
South,0.252,6.599
South,0.246,6.2
South,0.367,6.614
South,0.371,6.4
South,0.285,6.983
South,0.287,6.6
South,0.357,7.624
South,0.359,7.2
South,0.284,7.026
South,0.289,6.7
South,0.241,7.596
South,0.247,7.5
South,0.361,6.194
South,0.37,5.9
South,0.257,7.119
South,0.248,6.8
South,0.293,7.021
South,0.27,6.7
South,0.282,7.909
South,0.288,7.7
South,0.209,7.496
South,0.199,7.4
South,0.349,6.973
South,0.358,6.5
South,0.344,7.134
South,0.347,6.9
South,0.357,7.545
South,0.357,7.1
South,0.284,6.632
South,0.294,6.3
South,0.3,6.181
South,0.296,5.8
South,0.284,6.721
South,0.27,6.5
South,0.261,7.502
South,0.253,7.2
South,0.371,5.706
South,0.384,5.5
South,0.321,8.201
South,0.313,7.7
South,0.355,7.232
South,0.356,6.8
South,0.311,7.259
South,0.316,6.7
South,0.373,5.896
South,0.386,5.6
South,0.369,5.642
South,0.368,5.5
South,0.344,5.66
South,0.343,5.6
South,0.287,6.948
South,0.294,6.7
South,0.302,6.418
South,0.303,6.1
South,0.268,6.994
South,0.261,6.8
South,0.306,7.137
South,0.315,6.6
South,0.218,6.39
South,0.229,6.2
South,0.339,7.778
South,0.34,7.3
South,0.351,6.638
South,0.356,6.2
South,0.347,8.252
South,0.362,7.6
South,0.291,7.246
South,0.305,7.0
South,0.259,7.17
South,0.259,7.0
South,0.282,6.269
South,0.267,5.8
South,0.337,7.206
South,0.32,7.0
South,0.357,7.179
South,0.369,6.7
South,0.363,6.1
South,0.357,5.7
South,0.251,7.486
South,0.25,7.3
South,0.316,6.897
South,0.31,6.7
South,0.201,7.636
South,0.209,7.4
South,0.218,7.434
South,0.21,7.6
South,0.189,7.724
South,0.197,7.4
South,0.278,7.764
South,0.268,7.4
South,0.285,7.544
South,0.288,7.1
South,0.317,5.417
South,0.337,5.1
South,0.257,6.989
South,0.252,6.8
South,0.29,7.151
South,0.292,7.1
South,0.224,7.435
South,0.224,7.3
South,0.285,7.346
South,0.286,7.2
South,0.238,7.488
South,0.24,7.2
South,0.321,6.617
South,0.307,6.4
South,0.338,6.04
South,0.331,5.6
South,0.28,7.438
South,0.282,7.1
South,0.202,7.65
South,0.206,7.4
South,0.249,7.583
South,0.253,7.4
South,0.226,8.065
South,0.23,7.8
South,0.287,6.467
South,0.298,6.3
South,0.281,8.464
South,0.289,8.1
South,0.31,7.075
South,0.316,6.6
South,0.359,6.76
South,0.365,6.3
South,0.38,6.747
South,0.379,6.3
South,0.258,7.032
South,0.273,6.8
South,0.362,8.467
South,0.371,8.0
South,0.267,7.77
South,0.272,7.3
South,0.364,5.651
South,0.373,5.3
South,0.343,6.938
South,0.347,6.8
South,0.308,5.773
South,0.342,5.5
South,0.308,7.459
South,0.318,7.3
South,0.326,1.882
South,0.319,1.3
South,0.32,5.379
South,0.318,5.1
South,0.282,8.421
South,0.281,8.1
South,0.322,7.906
South,0.329,7.7
South,0.294,6.981
South,0.316,6.7
South,0.334,5.162
South,0.35,4.7
South,0.301,6.88
South,0.324,6.7
South,0.303,5.784
South,0.286,5.4
South,0.301,6.816
South,0.315,6.6
South,0.31,7.569
South,0.318,7.2
South,0.333,7.114
South,0.351,6.6
South,0.283,8.38
South,0.27,8.0
South,0.33,5.71
South,0.325,5.2
